Country,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Turkiye, Rep of",8.854572714,7.670853648,7.775134153,11.14431108,16.3324639,15.17682157,12.27895745,19.59649269,72.30883599,53.85940876
Tuvalu,,,,,,,,,,
Uganda,3.07570669,5.589686063,5.706375046,5.209717059,2.61601191,2.867588034,3.313322895,2.204572048,7.19578886,5.350948043
Ukraine,12.07185629,48.69986464,13.9127102,14.43832275,10.95185594,7.886717456,2.732492094,9.363139177,20.18363666,12.84902228
United Arab Emirates,2.346268657,4.069966084,1.617488089,1.966825578,3.068633793,-1.931081148,-2.079403179,0.179935336,5.291226044,1.626708372
United Kingdom,1.451120163,0.368046842,1.008417368,2.557755776,2.292839903,1.738104601,0.989486704,2.518371096,7.922048831,6.793967068
United States,1.622222977,0.118627136,1.261583206,2.130110004,2.442583297,1.812210075,1.233584396,4.697858864,8.002799821,4.116338384
Uruguay,8.877353332,8.666269871,9.639413476,6.218093826,7.606533604,7.881988709,9.756406361,7.747914023,9.104379831,5.869103599
"Uzbekistan, Rep. of",9.283093562,8.751881967,8.130886695,13.87574254,17.52417965,14.52573596,12.86772974,10.84923975,11.4466437,
Vanuatu,0.798863838,2.483268757,0.842069084,3.084526244,2.330963796,2.762520194,5.329350731,2.343283582,6.679305819,
"Venezuela, Rep. Bolivariana de",62.16864998,121.7380853,254.9485348,,,,,,,
Vietnam,4.084554466,0.631200905,2.66824817,3.520256888,3.539628059,2.795823675,3.220934367,1.834715548,3.1565075,3.252892827
West Bank and Gaza,1.7329851,1.431611458,-0.219106605,0.212570934,-0.195107774,1.580183336,-0.735332001,1.237481028,3.741223919,5.871101777
"Yemen, Rep. of",8.104725836,,,,,,,,,
Zambia,7.806875536,10.11059289,17.86973008,6.577311542,7.494571927,9.150316443,15.73306047,22.02076762,10.99320392,10.88453169
Zimbabwe,-0.19778481,-2.430968424,-1.543669601,0.893962316,10.61886587,255.3049908,557.2018174,98.54610509,104.7051706,
